Model Year,Mfr Name,Division,Eng Displ,# Cyl,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2016,FCA US LLC,ALFA ROMEO,1.8,4,24,34,28
2016,aston martin,Aston Martin Lagonda Ltd,6,12,12,18,14
2016,aston martin,Aston Martin Lagonda Ltd,4.7,8,14,21,16
2016,aston martin,Aston Martin Lagonda Ltd,4.7,8,13,19,15
2016,aston martin,Aston Martin Lagonda Ltd,4.7,8,14,21,16
2016,aston martin,Aston Martin Lagonda Ltd,4.7,8,13,19,15
2016,aston martin,Aston Martin Lagonda Ltd,4.7,8,14,21,16
2016,aston martin,Aston Martin Lagonda Ltd,4.7,8,13,19,15
2016,Volkswagen Group of,Audi,2,4,23,30,26
2016,BMW,BMW,3,6,16,23,19
2016,BMW,BMW,2,4,22,33,26
2016,BMW,BMW,2,4,22,34,26
2016,BMW,BMW,3,6,17,24,20
2016,BMW,BMW,3,6,17,24,20
2016,General Motors,Chevrolet,6.2,8,13,23,16
2016,General Motors,Chevrolet,6.2,8,16,29,20
2016,General Motors,Chevrolet,6.2,8,15,22,18
2016,General Motors,Chevrolet,6.2,8,17,29,21
2016,FCA US LLC,Dodge,8.4,10,12,21,15
2016,Ferrari,"Ferrari North America, Inc.",3.9,8,15,22,18
2016,Ferrari,"Ferrari North America, Inc.",3.9,8,16,22,18
2016,Ferrari,"Ferrari North America, Inc.",3.9,8,15,22,18
2016,Ferrari,"Ferrari North America, Inc.",3.9,8,16,22,18
2016,Ferrari,"Ferrari North America, Inc.",6.3,12,11,16,13
2016,Ferrari,"Ferrari North America, Inc.",6.3,12,12,16,13
2016,Ferrari,"Ferrari North America, Inc.",6.3,12,12,17,13
2016,Ferrari,"Ferrari North America, Inc.",6.3,12,11,15,12
2016,Ferrari,"Ferrari North America, Inc.",6.3,12,12,15,13
2016,Ferrari,"Ferrari North America, Inc.",6.3,12,11,15,13
2016,Honda,Honda,1.5,4,36,39,37
2016,Honda,Honda,1.5,4,31,38,34
2016,Jaguar Land Rover L,Jaguar,3,6,19,28,22
2016,Jaguar Land Rover L,Jaguar,3,6,16,24,19
2016,Jaguar Land Rover L,Jaguar,3,6,19,28,22
2016,Jaguar Land Rover L,Jaguar,3,6,16,24,19
2016,Jaguar Land Rover L,Jaguar,5,8,15,23,18
2016,Jaguar Land Rover L,Jaguar,5,8,15,23,18
2016,Jaguar Land Rover L,Jaguar,5,8,16,23,18
2016,Jaguar Land Rover L,Jaguar,3,6,18,26,21
2016,Jaguar Land Rover L,Jaguar,3,6,18,26,21
2016,Jaguar Land Rover L,Jaguar,3,6,19,27,22
2016,Jaguar Land Rover L,Jaguar,3,6,15,24,18
2016,Jaguar Land Rover L,Jaguar,3,6,19,27,22
2016,Jaguar Land Rover L,Jaguar,3,6,15,24,18
2016,Volkswagen Group of,Lamborghini,6.5,12,11,18,13
2016,Volkswagen Group of,Lamborghini,6.5,12,10,17,12
2016,Volkswagen Group of,Lamborghini,5.2,10,14,21,17
2016,Volkswagen Group of,Lamborghini,5.2,10,14,20,16
2016,MAZDA,MAZDA,2,4,27,36,30
2016,MAZDA,MAZDA,2,4,27,34,30
2016,McLaren Automotive,McLaren,3.8,8,16,23,19
2016,McLaren Automotive,McLaren,3.8,8,16,22,18
2016,McLaren Automotive,McLaren,3.8,8,16,22,18
2016,McLaren Automotive,McLaren,3.8,8,16,22,18
2016,Mercedes-Benz,Mercedes-Benz,4,8,16,22,18
2016,Mercedes-Benz,Mercedes-Benz,5.5,8,16,25,19
2016,Mercedes-Benz,Mercedes-Benz,6,12,14,21,17
2016,Mercedes-Benz,Mercedes-Benz,5.5,8,19,28,22
2016,Mercedes-Benz,Mercedes-Benz,3,6,20,27,23
2016,Mercedes-Benz,Mercedes-Benz,4.7,8,16,24,19
2016,Mercedes-Benz,Mercedes-Benz,2,4,25,32,28
2016,Mercedes-Benz,Mercedes-Benz,3.5,6,21,29,24
2016,Mercedes-Benz,Mercedes-Benz,0.9,3,34,39,36
2016,Mercedes-Benz,Mercedes-Benz,0.9,3,32,39,35
2016,Nissan,NISSAN,3.7,6,19,26,21
2016,Nissan,NISSAN,3.7,6,18,26,21
2016,Nissan,NISSAN,3.7,6,18,25,21
2016,Nissan,NISSAN,3.7,6,17,24,20
2016,Pagani Automobili S,Pagani Automobili S.p.A.,6,12,11,17,13
2016,Porsche,Porsche,3.8,6,15,20,17
2016,Porsche,Porsche,4,6,14,20,16
2016,Porsche,Porsche,2.7,6,22,32,26
2016,Porsche,Porsche,2.7,6,20,30,24
2016,Porsche,Porsche,3.4,6,22,31,25
2016,Porsche,Porsche,3.4,6,19,26,22
2016,Porsche,Porsche,3.4,6,21,30,24
2016,Porsche,Porsche,3.4,6,20,28,23
2016,Porsche,Porsche,3.8,6,18,24,20
2016,Porsche,Porsche,2.7,6,22,32,26
2016,Porsche,Porsche,2.7,6,20,30,24
2016,Porsche,Porsche,3.8,6,18,23,20
2016,Porsche,Porsche,3.4,6,22,31,25
2016,Porsche,Porsche,3.4,6,19,26,22
2016,Porsche,Porsche,3.4,6,21,30,24
2016,Porsche,Porsche,3.4,6,20,28,23
2016,aston martin,Aston Martin Lagonda Ltd,5.9,12,13,19,15
2016,aston martin,Aston Martin Lagonda Ltd,6,12,13,21,16
